,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri,price_sold_sek
184,2.0,48,True,2016.0,3120,0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False,2260000
185,3.0,75,True,1942.0,4102,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,3995000
186,2.0,365,True,1931.0,1784,0,False,False,False,False,False,False,True,False,False,False,False,False,2.0,False,False,False,False,True,3420000
187,1.0,29,True,1960.0,1635,4500,False,False,False,False,False,False,False,False,False,False,False,False,13.0,False,False,False,False,False,1800000
188,2.0,33,True,1927.0,1557,5400,False,False,False,False,False,False,False,False,False,True,True,False,3.0,False,False,False,False,False,4350000
190,2.0,61,True,1965.0,4150,4028,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,1200000
191,2.0,54,True,1957.0,2478,3326,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,3100000
192,3.0,83,True,1969.0,4854,0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,True,False,False,3950000
193,2.0,40,True,1885.0,2288,11229,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False,5350000
194,3.0,56,True,2023.0,3536,300,False,False,False,False,False,False,False,False,False,False,False,False,11.0,False,False,False,False,False,3095000
195,4.0,84,True,2010.0,5322,0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,4895000
196,2.0,32,True,1940.0,2189,3600,False,False,False,False,False,True,False,False,False,False,False,False,5.0,False,False,True,False,False,2590000
197,5.0,110,True,2018.0,6314,11160,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,10900000
198,2.0,68,True,1968.0,4800,1800,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,True,False,1905000
199,2.0,485,True,2022.0,3417,4500,False,False,False,False,False,False,False,False,True,False,False,False,2.0,False,False,False,False,False,3100000
200,2.0,45,True,1933.0,3385,0,False,False,False,False,False,False,True,False,False,False,False,False,4.0,False,False,False,True,False,4600000
202,2.0,68,True,2003.0,4527,8000,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,1550000
203,3.0,80,True,1913.0,4251,11140,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,True,False,False,False,9000000
205,2.0,605,True,2019.0,3366,7800,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,4200000
206,3.0,86,True,1991.0,4981,9000,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,5300000
207,3.0,73,True,1943.0,4186,12140,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,True,False,False,False,7000000
208,2.0,66,True,1967.0,5556,3000,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False,1170000
209,4.0,95,True,1958.0,5286,4800,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False,2700000
210,1.0,44,True,1980.0,2297,0,False,False,False,False,True,False,False,False,False,False,True,False,1.0,False,False,False,False,False,3240000
211,3.0,86,True,1967.0,4320,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,True,False,False,False,8300000
212,1.0,33,True,1930.0,2093,3820,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,True,False,False,False,3270000
213,2.0,42,True,1979.0,2224,0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,True,False,False,2650000
214,1.0,33,True,2018.0,2827,6156,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,1420000
215,2.0,62,True,1938.0,3858,9692,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,3895000
216,2.0,62,True,1993.0,3723,5100,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,1975000
217,4.0,90,False,1985.0,6573,0,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False,1700000
218,2.0,60,True,1971.0,3879,1800,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,1560000
219,3.0,80,True,1963.0,4545,0,False,False,False,False,False,False,False,False,False,False,False,True,5.0,False,False,False,False,False,3300000
220,3.0,92,True,2012.0,4371,9540,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,7650000
222,2.0,57,True,1962.0,3586,11592,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,1850000
223,2.0,48,True,1931.0,2604,6600,False,False,False,False,False,False,False,False,False,False,False,True,4.0,False,False,False,False,False,3075000
224,2.0,63,True,2021.0,4420,0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,4495000
225,4.0,79,True,1960.0,6979,7500,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False,1600000
226,4.0,792,True,2023.0,4241,11400,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,3910000
227,6.0,140,True,1929.0,5461,14376,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,10265000
230,3.0,80,True,1951.0,3842,6600,False,True,False,False,False,False,False,False,False,False,True,False,5.0,False,False,False,False,False,7400000
231,3.0,79,True,1931.0,1388,0,False,False,False,False,False,False,False,False,False,False,True,False,5.0,False,False,False,False,False,7550000
232,1.0,42,True,1952.0,2630,0,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False,2250000
233,2.0,565,True,1905.0,3051,6000,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,5630000
234,1.0,40,True,1972.0,3006,4980,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False,1725000
235,2.0,55,False,1938.0,4126,4800,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,3900000
238,3.0,765,True,1963.0,4513,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,2390000
239,2.0,43,True,1929.0,2865,0,False,False,False,False,False,False,True,False,False,False,False,False,4.0,False,False,False,False,False,4300000
240,2.0,40,True,1943.0,2494,7900,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,3080000
243,2.0,59,True,1973.0,2496,0,False,False,False,False,False,False,False,False,False,True,False,False,3.0,False,False,False,False,False,6500000
244,2.0,51,False,1939.0,3386,8400,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False,3550000
246,2.0,57,True,1930.0,2925,4800,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,True,False,5650000
247,3.0,67,True,1860.0,3130,7589,False,False,False,False,False,False,False,False,False,False,True,False,5.0,False,False,False,False,True,7000000
248,1.0,30,True,1934.0,1236,3500,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False,3400000
249,3.0,66,True,1949.0,3870,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,3805000
251,4.0,145,True,1897.0,7541,18000,False,False,False,False,False,False,False,False,False,True,False,False,2.0,False,False,False,False,False,17900000
252,1.0,42,True,1946.0,2673,0,False,True,False,False,False,False,False,False,False,False,True,False,4.0,False,False,False,True,False,2725000
254,3.0,74,True,2017.0,4489,7248,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,3050000
255,2.0,54,True,1955.0,4044,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,2470000
