,price_sold_sek,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
137,1690000,3.0,73.0,True,1976.0,5356.0,6720.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
138,2920000,2.0,415.0,True,2014.0,2685.0,2772.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False
139,4650000,2.0,62.0,True,2017.0,3775.0,6188.0,False,True,False,False,False,False,False,False,False,False,False,False,9.0,False,False,False,False,False
140,3595000,4.0,89.0,True,1973.0,5429.0,4500.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False
141,2825000,2.0,43.0,False,2014.0,2190.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,3.7297061382462147,False,False,False,True,False
142,3800000,2.0,33.0,True,1925.0,2226.0,0.0,False,False,False,False,False,False,False,True,False,False,False,True,2.0,False,False,False,False,False
143,4250000,2.0,58.0,True,2016.0,3460.0,7684.0,False,False,False,True,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
144,1495000,3.0,80.0,True,1967.0,5539.0,3600.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
145,5400000,2.0,46.0,True,1904.0,2750.0,6800.0,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False
146,4325000,2.0,57.0,True,1911.0,3432.0,2400.0,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,True,False
147,6495000,4.0,101.0,True,1958.0,6190.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False
148,6500000,2.0,76.0,True,1941.0,3577.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,False,False,True,False
149,7600000,3.0,75.0,True,1929.0,4312.0,19752.0,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,False,False
150,2250000,3.0,775.0,True,1963.0,4359.0,5400.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
151,1930000,2.0,40.0,True,1929.0,1909.0,6120.0,False,False,False,False,False,False,False,False,False,False,True,False,3.0,False,False,False,False,False
152,1600000,2.0,55.0,True,1998.0,3296.0,4560.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False
153,4050000,1.0,43.0,True,1926.0,2509.0,0.0,False,False,False,False,False,False,True,False,False,False,True,False,2.0,False,False,False,True,False
154,4700000,2.0,43.0,True,1931.0,1701.0,9000.0,False,False,False,False,True,False,False,False,False,False,True,False,1.0,False,False,False,False,False
155,4000000,3.0,78.0,True,1962.0,3955.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False
156,3050000,2.0,617.0,True,1963.0,4041.0,10743.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
